id,name
130,Anatomy & Physiology
138,Algebra II
150,Business Law
157,English
165,Video and Media Technology
168,Creative Writing
194,United States Government
232,Debate
252,Biology
266,Concert Band
279,Physics
344,Calculus
356,Computer Information Systems
396,Concert Chorus
402,European History
414,Accounting
438,Algebra I
446,Environmental Science
464,Geometry
476,World History
498,Dance Company (Audition)
502,Latin
506,Art
507,Advanced Algebra/Trigonometry
525,Construction Technology
526,Technical Drawing and Design
659,Computer Science
671,Computer Art Graphics
699,Theatre Arts
701,Statistics
737,Adventure Games
750,Sociology
777,Astronomy
786,United States History
841,Human Geography
857,Biotechnology
864,Music Theory
921,Chemistry
930,Earth Science
959,Spanish
960,French
